invoice_number,invoice_line_item,po_number,po_line_item,material_code,material_description,invoice_qty,unit_price,currency,invoice_amount,tax_amount,total_amount,gr_reference
INV-80013,20,4500015,20,MAT-25194,MS Round Bar 25mm,220,1018,INR,223960,40312,264272,GR-10029
INV-80014,10,4500016,10,MAT-77952,Iron Angle 50x50,34,755,EUR,25670,4620,30290,GR-10030
INV-80014,30,4500016,30,MAT-13783,Iron Angle 50x50,764,875,EUR,668500,120330,788830,GR-10031
INV-80014,40,4500016,40,MAT-63476,Copper Wire 10mm,26,5724,EUR,148824,26788,175612,GR-10032
INV-80015,10,4500017,10,MAT-30181,Iron Angle 50x50,100,815,EUR,81500,14670,96170,GR-10033
INV-80016,20,4500018,20,MAT-88561,Zinc Sheet 1mm,232,2348,USD,544736,98052,642788,GR-10034
INV-80016,30,4500018,30,MAT-45018,Copper Wire 10mm,300,5136,USD,1540800,277344,1818144,GR-10035
INV-80016,40,4500018,40,MAT-68529,Carbon Steel Sheet,1000,1652,USD,1652000,297360,1949360,GR-10036
INV-80017,10,4500020,10,MAT-26547,Steel Pipe 2inch,1000,1338,EUR,1338000,240840,1578840,GR-10039
INV-80017,20,4500020,20,MAT-69890,Cast Iron Block,100,1025,EUR,102500,18450,120950,GR-10040
INV-80017,30,4500020,30,MAT-44737,Steel Pipe 2inch,100,1350,EUR,135000,24300,159300,GR-10041
INV-80018,10,4500021,10,MAT-92155,Cast Iron Block,500,968,USD,484000,87120,571120,GR-10042
INV-80019,10,4500022,10,MAT-21846,Aluminum Plate 5mm,205,2446,USD,501430,90257,591687,GR-10043
INV-80020,10,4500023,10,MAT-16028,Iron Angle 50x50,250,692,INR,173000,31140,204140,GR-10044
INV-80021,10,4500024,10,MAT-42007,Brass Rod 20mm,348,3413,EUR,1187724,213790,1401514,GR-10046
INV-80021,20,4500024,20,MAT-60140,Stainless Sheet 304,68,3558,EUR,241944,43549,285493,GR-10047
INV-80022,10,4500026,10,MAT-67898,Titanium Plate 3mm,150,15417,INR,2312550,416259,2728809,GR-10049
INV-80022,20,4500026,20,MAT-49599,Titanium Plate 3mm,203,14367,INR,2916501,524970,3441471,GR-10051
INV-80023,10,4500027,10,MAT-57049,MS Round Bar 25mm,500,971,INR,485500,87390,572890,GR-10052
INV-80023,20,4500027,20,MAT-11061,HR Coil 2mm,452,3000,INR,1356000,244080,1600080,GR-10053
INV-80023,30,4500027,30,MAT-56179,Cast Iron Block,200,946,INR,189200,34056,223256,GR-10054
INV-80024,20,4500028,20,MAT-57823,Alloy Steel Bar,27,3251,INR,87777,15799,103576,GR-10055
INV-80025,10,4500029,10,MAT-36318,Brass Rod 20mm,500,3765,EUR,1882500,338850,2221350,GR-10056
INV-80025,20,4500029,20,MAT-43681,Zinc Sheet 1mm,183,2713,EUR,496479,89366,585845,GR-10057
INV-80026,10,4500030,10,MAT-28449,Alloy Steel Bar,1000,2917,INR,2917000,525060,3442060,GR-10058
INV-80026,20,4500030,20,MAT-61717,Cast Iron Block,264,1085,INR,286440,51559,337999,GR-10059
INV-80027,10,4500031,10,MAT-98125,MS Round Bar 25mm,300,1169,INR,350700,63126,413826,GR-10060
INV-80027,20,4500031,20,MAT-98452,Cast Iron Block,300,1126,INR,337800,60804,398604,GR-10061
INV-80027,30,4500031,30,MAT-39015,HR Coil 2mm,300,2817,INR,845100,152118,997218,GR-10063
INV-80027,40,4500031,40,MAT-63516,Forged Steel Component,143,6435,INR,920205,165636,1085841,GR-10064
INV-80028,10,4500032,10,MAT-22739,HR Coil 2mm,1000,2655,EUR,2655000,477900,3132900,GR-10065
INV-80029,10,4500033,10,MAT-30253,Iron Angle 50x50,500,744,INR,372000,66960,438960,GR-10068
INV-80029,20,4500033,20,MAT-14288,Cast Iron Block,367,1050,INR,385350,69363,454713,GR-10069
INV-80029,30,4500033,30,MAT-23022,Iron Angle 50x50,173,763,INR,131999,23759,155758,GR-10070
INV-80030,10,4500034,10,MAT-69600,Steel Pipe 2inch,200,1482,EUR,296400,53352,349752,GR-10073
INV-80031,10,4500035,10,MAT-26505,HR Coil 2mm,300,3106,EUR,931800,167724,1099524,GR-10074
INV-80032,10,4500036,10,MAT-53064,Aluminum Plate 5mm,188,2400,USD,451200,81216,532416,GR-10075
INV-80032,20,4500036,20,MAT-42853,Copper Wire 10mm,164,4796,USD,786544,141577,928121,GR-10076
INV-80032,30,4500036,30,MAT-56955,Titanium Plate 3mm,150,12105,USD,1815750,326835,2142585,GR-10077
INV-80032,40,4500036,40,MAT-26614,HR Coil 2mm,250,2589,USD,647250,116505,763755,GR-10078
INV-80033,10,4500037,10,MAT-87812,Iron Angle 50x50,215,764,USD,164260,29566,193826,GR-10081
INV-80034,10,4500038,10,MAT-96363,Aluminum Plate 5mm,50,2429,INR,121450,21861,143311,GR-10082
INV-80034,20,4500038,20,MAT-62640,Titanium Plate 3mm,50,12095,INR,604750,108855,713605,GR-10083
INV-80034,30,4500038,30,MAT-20589,Iron Angle 50x50,599,832,INR,498368,89706,588074,GR-10084
INV-80034,40,4500038,40,MAT-92978,MS Round Bar 25mm,250,914,INR,228500,41130,269630,GR-10085
INV-80035,10,4500039,10,MAT-24996,Copper Wire 10mm,500,4994,INR,2497000,449460,2946460,GR-10088
INV-80035,20,4500039,20,MAT-54424,Iron Angle 50x50,200,877,INR,175400,31572,206972,GR-10090
INV-80036,10,4500041,10,MAT-16743,Steel Pipe 2inch,440,1562,INR,687280,123710,810990,GR-10091
INV-80037,10,4500042,10,MAT-96079,MS Round Bar 25mm,130,1145,INR,148850,26793,175643,GR-10093
INV-80037,20,4500042,20,MAT-58176,Cast Iron Block,300,855,INR,256500,46170,302670,GR-10094
INV-80038,10,4500043,10,MAT-96223,Alloy Steel Bar,50,3239,USD,161950,29151,191101,GR-10095
INV-80039,10,4500044,10,MAT-28595,Nickel Bar 15mm,500,9346,USD,4673000,841140,5514140,GR-10096
INV-80040,10,4500045,10,MAT-54681,Aluminum Plate 5mm,500,2185,INR,1092500,196650,1289150,GR-10097
INV-80040,30,4500045,30,MAT-20693,Stainless Sheet 304,50,3522,INR,176100,31698,207798,GR-10100
INV-80041,10,4500046,10,MAT-66349,Alloy Steel Bar,100,3324,EUR,332400,59832,392232,GR-10101
INV-80041,20,4500046,20,MAT-97442,Titanium Plate 3mm,500,14779,EUR,7389500,1330110,8719610,GR-10104
INV-80042,10,4500047,10,MAT-49507,Steel Pipe 2inch,50,1256,EUR,62800,11304,74104,GR-10105
INV-80042,20,4500047,20,MAT-25726,Alloy Steel Bar,250,3061,EUR,765250,137745,902995,GR-10106
INV-80043,10,4500048,10,MAT-40161,Stainless Sheet 304,500,3464,INR,1732000,311760,2043760,GR-10109
INV-80043,20,4500048,20,MAT-70260,Steel Pipe 2inch,375,1227,INR,460125,82822,542947,GR-10111
INV-80043,30,4500048,30,MAT-93904,Nickel Bar 15mm,431,8879,INR,3826849,688832,4515681,GR-10112
INV-80044,10,4500050,10,MAT-87184,Steel Pipe 2inch,148,1406,EUR,208088,37455,245543,GR-10115
INV-80045,10,4500051,10,MAT-53655,Cast Iron Block,300,958,USD,287400,51732,339132,GR-10116
INV-80045,20,4500051,20,MAT-76840,Zinc Sheet 1mm,59,2848,USD,168032,30245,198277,GR-10117
INV-80045,30,4500051,30,MAT-23474,Brass Rod 20mm,150,3744,USD,561600,101088,662688,GR-10118
INV-80046,10,4500052,10,MAT-19876,Stainless Sheet 304,150,4433,USD,664950,119691,784641,GR-10119
INV-80047,10,4500053,10,MAT-92756,Iron Angle 50x50,1000,667,EUR,667000,120060,787060,GR-10122
INV-80048,10,4500054,10,MAT-70521,Brass Rod 20mm,100,3519,INR,351900,63342,415242,GR-10123
INV-80049,10,4500055,10,MAT-94497,Brass Rod 20mm,233,3851,USD,897283,161510,1058793,GR-10124
INV-80050,10,4500056,10,MAT-84928,Nickel Bar 15mm,50,9135,INR,456750,82215,538965,GR-10125
INV-80050,20,4500056,20,MAT-69050,Nickel Bar 15mm,150,8974,INR,1346100,242298,1588398,GR-10126
INV-80050,30,4500056,30,MAT-42472,Carbon Steel Sheet,117,1543,INR,180531,32495,213026,GR-10128
INV-80051,10,4500057,10,MAT-58870,Zinc Sheet 1mm,101,2824,INR,285224,51340,336564,GR-10129
INV-80051,20,4500057,20,MAT-94843,Steel Pipe 2inch,50,1546,INR,77300,13914,91214,GR-10130
INV-80051,30,4500057,30,MAT-43029,Brass Rod 20mm,556,3096,INR,1721376,309847,2031223,GR-10132
INV-80051,40,4500057,40,MAT-50662,MS Round Bar 25mm,150,1148,INR,172200,30996,203196,GR-10133
INV-80052,10,4500058,10,MAT-53054,Copper Wire 10mm,500,5644,EUR,2822000,507960,3329960,GR-10134
INV-80053,10,4500060,10,MAT-33703,Nickel Bar 15mm,150,8771,INR,1315650,236817,1552467,GR-10142
INV-80054,10,4500061,10,MAT-90031,Steel Pipe 2inch,119,1573,EUR,187187,33693,220880,GR-10143
INV-80055,20,4500062,20,MAT-75916,Iron Angle 50x50,179,846,EUR,151434,27258,178692,GR-10144
INV-80056,10,4500064,10,MAT-22021,Forged Steel Component,135,6051,INR,816885,147039,963924,GR-10146
INV-80056,20,4500064,20,MAT-16980,Forged Steel Component,50,5715,INR,285750,51435,337185,GR-10147
INV-80056,30,4500064,30,MAT-39430,Aluminum Plate 5mm,109,2195,INR,239255,43065,282320,GR-10148
INV-80057,10,4500065,10,MAT-28035,Cast Iron Block,300,1133,EUR,339900,61182,401082,GR-10149
INV-80058,10,4500066,10,MAT-71487,Carbon Steel Sheet,98,1925,INR,188650,33957,222607,GR-10150
INV-80058,20,4500066,20,MAT-38266,Forged Steel Component,50,5402,INR,270100,48618,318718,GR-10151
INV-80058,30,4500066,30,MAT-25970,MS Round Bar 25mm,200,997,INR,199400,35892,235292,GR-10152
INV-80059,10,4500067,10,MAT-24530,Titanium Plate 3mm,1000,14551,USD,14551000,2619180,17170180,GR-10153
INV-80059,20,4500067,20,MAT-28818,Titanium Plate 3mm,200,14110,USD,2822000,507960,3329960,GR-10154
INV-80060,10,4500068,10,MAT-81313,Zinc Sheet 1mm,100,2569,USD,256900,46242,303142,GR-10155
INV-80061,10,4500069,10,MAT-43246,HR Coil 2mm,415,2825,USD,1172375,211027,1383402,GR-10156
INV-80061,20,4500069,20,MAT-96127,Alloy Steel Bar,266,3068,USD,816088,146895,962983,GR-10157
INV-80061,30,4500069,30,MAT-54374,Stainless Sheet 304,273,3290,USD,898170,161670,1059840,GR-10158
INV-80062,20,4500070,20,MAT-51365,Aluminum Plate 5mm,200,1844,USD,368800,66384,435184,GR-10159
INV-80062,30,4500070,30,MAT-14799,Cast Iron Block,1000,1078,USD,1078000,194040,1272040,GR-10160
INV-80063,10,4500071,10,MAT-53506,Cast Iron Block,50,1199,EUR,59950,10791,70741,GR-10161
INV-80063,20,4500071,20,MAT-67637,Alloy Steel Bar,500,3176,EUR,1588000,285840,1873840,GR-10164
INV-80064,10,4500072,10,MAT-78062,Iron Angle 50x50,915,827,USD,756705,136206,892911,GR-10167
INV-80065,10,4500073,10,MAT-48504,MS Round Bar 25mm,168,1070,USD,179760,32356,212116,GR-10168
INV-80065,20,4500073,20,MAT-68447,MS Round Bar 25mm,250,1017,USD,254250,45765,300015,GR-10169
INV-80065,30,4500073,30,MAT-15551,Carbon Steel Sheet,300,1727,USD,518100,93258,611358,GR-10170
INV-80066,20,4500074,20,MAT-28714,Zinc Sheet 1mm,150,2967,EUR,445050,80109,525159,GR-10171
INV-80067,10,4500075,10,MAT-60181,MS Round Bar 25mm,300,970,EUR,291000,52380,343380,GR-10172
INV-80068,10,4500076,10,MAT-85225,Brass Rod 20mm,1000,3380,USD,3380000,608400,3988400,GR-10173
INV-80068,20,4500076,20,MAT-24869,Steel Pipe 2inch,224,1521,USD,340704,61326,402030,GR-10174
INV-80068,30,4500076,30,MAT-25435,Iron Angle 50x50,500,782,USD,391000,70380,461380,GR-10175
INV-80069,10,4500078,10,MAT-76683,Carbon Steel Sheet,150,1863,INR,279450,50301,329751,GR-10181
INV-80070,10,4500079,10,MAT-13445,Alloy Steel Bar,177,2942,EUR,520734,93732,614466,GR-10182
INV-80070,20,4500079,20,MAT-21300,Iron Angle 50x50,150,855,EUR,128250,23085,151335,GR-10185
INV-80071,10,4500080,10,MAT-63843,Carbon Steel Sheet,1000,1868,USD,1868000,336240,2204240,GR-10186
INV-80071,20,4500080,20,MAT-71057,Stainless Sheet 304,100,3849,USD,384900,69282,454182,GR-10187
INV-80071,30,4500080,30,MAT-66704,Forged Steel Component,162,6697,USD,1084914,195284,1280198,GR-10188
INV-80072,10,4500081,10,MAT-52291,Stainless Sheet 304,150,3838,USD,575700,103626,679326,GR-10191
INV-80072,20,4500081,20,MAT-35729,Zinc Sheet 1mm,73,2490,USD,181770,32718,214488,GR-10192
INV-80072,30,4500081,30,MAT-94015,Titanium Plate 3mm,100,13240,USD,1324000,238320,1562320,GR-10193
INV-80072,40,4500081,40,MAT-15399,Stainless Sheet 304,155,4478,USD,694090,124936,819026,GR-10194
INV-80073,10,4500083,10,MAT-49596,Forged Steel Component,250,6284,EUR,1571000,282780,1853780,GR-10195
INV-80073,20,4500083,20,MAT-19564,Alloy Steel Bar,250,3128,EUR,782000,140760,922760,GR-10196
INV-80073,30,4500083,30,MAT-36741,Iron Angle 50x50,1000,806,EUR,806000,145080,951080,GR-10197
INV-80074,10,4500085,10,MAT-16632,Iron Angle 50x50,150,713,INR,106950,19251,126201,GR-10200
INV-80074,20,4500085,20,MAT-30932,Cast Iron Block,500,1115,INR,557500,100350,657850,GR-10201
INV-80075,10,4500086,10,MAT-71186,Alloy Steel Bar,713,2963,USD,2112619,380271,2492890,GR-10202
INV-80075,20,4500086,20,MAT-76249,Iron Angle 50x50,100,655,USD,65500,11790,77290,GR-10203
INV-80076,10,4500087,10,MAT-46877,Nickel Bar 15mm,44,8722,INR,383768,69078,452846,GR-10204
INV-80076,20,4500087,20,MAT-66482,Copper Wire 10mm,50,5599,INR,279950,50391,330341,GR-10205
INV-80077,10,4500088,10,MAT-62505,Alloy Steel Bar,300,3212,EUR,963600,173448,1137048,GR-10206
INV-80078,10,4500090,10,MAT-15276,Nickel Bar 15mm,500,9042,EUR,4521000,813780,5334780,GR-10208
INV-80078,20,4500090,20,MAT-69898,Stainless Sheet 304,1000,3882,EUR,3882000,698760,4580760,GR-10209
INV-80079,10,4500091,10,MAT-61505,Forged Steel Component,300,6255,USD,1876500,337770,2214270,GR-10210
INV-80079,20,4500091,20,MAT-83783,Zinc Sheet 1mm,1000,2721,USD,2721000,489780,3210780,GR-10211
INV-80080,10,4500092,10,MAT-86507,Brass Rod 20mm,114,3339,USD,380646,68516,449162,GR-10214
INV-80081,10,4500093,10,MAT-16731,Copper Wire 10mm,218,5842,USD,1273556,229240,1502796,GR-10215
INV-80081,20,4500093,20,MAT-99224,Zinc Sheet 1mm,411,2844,USD,1168884,210399,1379283,GR-10216
INV-80081,30,4500093,30,MAT-12482,Nickel Bar 15mm,100,9941,USD,994100,178938,1173038,GR-10217
INV-80082,20,4500094,20,MAT-52604,Carbon Steel Sheet,147,1450,EUR,213150,38367,251517,GR-10218
INV-80082,30,4500094,30,MAT-79878,Brass Rod 20mm,150,3979,EUR,596850,107433,704283,GR-10219
INV-80083,10,4500096,10,MAT-25974,Zinc Sheet 1mm,230,2938,EUR,675740,121633,797373,GR-10222
INV-80084,10,4500097,10,MAT-38047,Forged Steel Component,250,5905,USD,1476250,265725,1741975,GR-10223
INV-80084,20,4500097,20,MAT-24316,Forged Steel Component,250,6151,USD,1537750,276795,1814545,GR-10224
INV-80085,10,4500098,10,MAT-40518,Titanium Plate 3mm,200,14175,USD,2835000,510300,3345300,GR-10227
INV-80086,20,4500099,20,MAT-72350,Zinc Sheet 1mm,500,2361,USD,1180500,212490,1392990,GR-10228
INV-80086,30,4500099,30,MAT-94659,Alloy Steel Bar,255,3094,USD,788970,142014,930984,GR-10229
INV-80087,20,4500101,20,MAT-71344,Forged Steel Component,150,6922,USD,1038300,186894,1225194,GR-10231
INV-80088,10,4500102,10,MAT-43720,Brass Rod 20mm,1000,3166,USD,3166000,569880,3735880,GR-10232
INV-80089,10,4500103,10,MAT-90079,Alloy Steel Bar,200,3102,USD,620400,111672,732072,GR-10233
INV-80089,20,4500103,20,MAT-97720,Zinc Sheet 1mm,100,2535,USD,253500,45630,299130,GR-10234
INV-80090,10,4500104,10,MAT-44181,Iron Angle 50x50,200,732,INR,146400,26352,172752,GR-10235
INV-80091,10,4500105,10,MAT-86344,Alloy Steel Bar,300,3073,INR,921900,165942,1087842,GR-10236
INV-80092,10,4500106,10,MAT-27507,Brass Rod 20mm,200,3629,INR,725800,130644,856444,GR-10237
INV-80092,20,4500106,20,MAT-81989,Iron Angle 50x50,300,841,INR,252300,45414,297714,GR-10238
INV-80093,10,4500108,10,MAT-99167,Brass Rod 20mm,1000,3874,INR,3874000,697320,4571320,GR-10239
INV-80094,10,4500110,10,MAT-50392,Nickel Bar 15mm,1109,8118,EUR,9002862,1620515,10623377,GR-10241
INV-80094,20,4500110,20,MAT-19572,Copper Wire 10mm,200,4506,EUR,901200,162216,1063416,GR-10242
INV-80094,30,4500110,30,MAT-17897,Brass Rod 20mm,111,3717,EUR,412587,74265,486852,GR-10243
INV-80095,10,4500111,10,MAT-94085,Copper Wire 10mm,150,5509,INR,826350,148743,975093,GR-10244
INV-80096,10,4500112,10,MAT-20518,Iron Angle 50x50,500,872,USD,436000,78480,514480,GR-10247
INV-80096,20,4500112,20,MAT-26691,MS Round Bar 25mm,345,941,USD,324645,58436,383081,GR-10248
INV-80096,30,4500112,30,MAT-98276,Alloy Steel Bar,250,2823,USD,705750,127035,832785,GR-10249
INV-80097,10,4500115,10,MAT-38477,Steel Pipe 2inch,227,1649,EUR,374323,67378,441701,GR-10254
INV-80098,10,4500117,10,MAT-34101,Steel Pipe 2inch,250,1352,USD,338000,60840,398840,GR-10260
INV-80098,20,4500117,20,MAT-28920,Cast Iron Block,227,915,USD,207705,37386,245091,GR-10261
INV-80098,30,4500117,30,MAT-79467,Zinc Sheet 1mm,500,2790,USD,1395000,251100,1646100,GR-10262
INV-80099,10,4500118,10,MAT-20363,Copper Wire 10mm,300,4916,USD,1474800,265464,1740264,GR-10263
INV-80099,20,4500118,20,MAT-45187,MS Round Bar 25mm,200,1071,USD,214200,38556,252756,GR-10266
INV-80100,10,4500119,10,MAT-37379,Aluminum Plate 5mm,200,2325,USD,465000,83700,548700,GR-10267
INV-80101,10,4500120,10,MAT-41797,Aluminum Plate 5mm,107,1994,INR,213358,38404,251762,GR-10268
